codigo;to_codigo
CIT5001;CBQ1000
CIT5001;CFG1
CIT5001;CBF1001
CIT5001;CIT2100
CIT5001;CIT2204
CIT5001;CBM2000
CIT5001;CBF1002
CIT5001;CIT2001
CIT5001;CFG2
CIT5001;FIC1001
CIT6001;CBQ1000
CIT6001;CFG1
CIT6001;CBF1001
CIT6001;CIT2100
CIT6001;CIT2204
CIT6001;CBM2000
CIT6001;CBF1002
CIT6001;CIT2001
CIT6001;CFG2
CIT6001;FIC1001
CIT4000;CBQ1000
CIT4000;FIC1000
CIT4000;CFG1
CIT4000;CIT2114
CIT4000;CIT2204
CIT4000;CIT2107
CIT4000;CBF1002
CIT4000;CIT2007
CIT4000;CIT2008
CIT4000;CIG1012
CIT5002;CIT5001
CIT5002;CFG3
CIT5002;FIC1002
CIT5002;CII2000
CIT5002;CIT2202
CIT5002;CII1000
CIT5002;FIC1003
CIT5002;CIT2104
CIT5002;CIT2203
CIT5002;CIT2004
CIT5002;CIT2105
CIT5002;CIT2201
CIT5002;CFG4
CIT6002;CIT5001
CIT6002;CFG3
CIT6002;CIG1014
CIT6002;CII2000
CIT6002;CIT2202
CIT6002;CII1000
CIT6002;FIC1003
CIT6002;CIT2104
CIT6002;CIT2203
CIT6002;CIT2004
CIT6002;CIT2105
CIT6002;CIT2201
CIT6002;CFG4
CIT4001;CII2750
CIT4001;CIT2009
CIT4001;CFG2
CIT4001;CIT2109
CIT4001;CFG3
CIT4001;CIG1014
CIT4001;CIT2011
CIT4001;CFG4
CIT4001;CII2100
CIT4001;CIT2112
CIT4001;CIT2113
CIT4001;CIT2013
CIT4001;CIT2207
FINAL1;CIT5001
FINAL1;CIT5002
FINAL1;CIT3310
FINAL1;CIT3410
FINAL1;CIT3411
FINAL1;CIT3311
FINAL1;CIT3312
FINAL1;CIT3412
FINAL1;CIT3413
FINAL1;CIT3201
FINAL1;CIT3313
FINAL2;CIT3310
FINAL2;CIT3410
FINAL2;CIT3411
FINAL2;CIT3200
FINAL2;CIT3311
FINAL2;CIT3312
FINAL2;CIT3412
FINAL2;CIT3413
FINAL2;CIT3201
FINAL2;CIT3313
FINAL2;CIT5001
FINAL2;CIT5002
FINAL3;CIT3310
FINAL3;CIT3100
FINAL3;CIT3410
FINAL3;CIT3000
FINAL3;CIT3202
FINAL3;CIT3311
FINAL3;CIT3411
FINAL3;CIT3412
FINAL3;CIT3312
FINAL3;CIT3203
FINAL3;CIT4000
FINAL3;CIT4001
